inventory_id,store_id,product_id,stock_on_hand,reorder_point,safety_stock,max_stock_level,last_updated
1,1,1,944,140,80,900,2024-12-31
2,1,2,0,140,80,900,2024-12-31
3,1,3,0,140,80,900,2024-12-31
4,1,4,4051,140,80,900,2024-12-31
5,1,5,0,140,80,900,2024-12-31
6,1,6,0,140,80,900,2024-12-31
7,1,7,5024,140,80,900,2024-12-31
8,1,8,0,280,160,1800,2024-12-31
9,1,9,0,280,160,1800,2024-12-31
10,1,10,3684,280,160,1800,2024-12-31
11,1,11,0,280,160,1800,2024-12-31
12,1,12,0,280,160,1800,2024-12-31
13,1,13,2283,280,160,1800,2024-12-31
14,1,14,0,280,160,1800,2024-12-31
15,1,15,0,280,160,1800,2024-12-31
16,1,16,879,280,160,1800,2024-12-31
17,1,17,0,126,72,810,2024-12-31
18,1,18,0,126,72,810,2024-12-31
19,1,19,1376,126,72,810,2024-12-31
20,1,20,0,126,72,810,2024-12-31
21,1,21,0,56,32,360,2024-12-31
22,1,22,242,56,32,360,2024-12-31
23,1,23,0,56,32,360,2024-12-31
24,1,24,0,630,360,4050,2024-12-31
25,1,25,9222,630,360,4050,2024-12-31
26,1,26,0,630,360,4050,2024-12-31
27,1,27,0,630,360,4050,2024-12-31
28,1,28,4789,280,160,1800,2024-12-31
29,1,29,0,280,160,1800,2024-12-31
30,1,30,0,280,160,1800,2024-12-31
31,1,31,3464,154,88,990,2024-12-31
32,1,32,0,154,88,990,2024-12-31
33,1,33,0,154,88,990,2024-12-31
34,1,34,2101,140,80,900,2024-12-31
35,1,35,0,140,80,900,2024-12-31
36,1,36,0,140,80,900,2024-12-31
37,1,37,1943,140,80,900,2024-12-31
38,1,38,0,385,220,2475,2024-12-31
39,1,39,0,385,220,2475,2024-12-31
40,1,40,1854,385,220,2475,2024-12-31
41,1,41,0,126,72,810,2024-12-31
42,1,42,0,126,72,810,2024-12-31
43,1,43,2561,126,72,810,2024-12-31
44,1,44,0,126,72,810,2024-12-31
45,1,45,0,140,80,900,2024-12-31
46,1,46,376,140,80,900,2024-12-31
47,1,47,0,140,80,900,2024-12-31
48,1,48,0,140,80,900,2024-12-31
49,1,49,2861,140,80,900,2024-12-31
50,1,50,0,140,80,900,2024-12-31
51,1,51,0,154,88,990,2024-12-31
52,1,52,2387,154,88,990,2024-12-31
53,1,53,0,154,88,990,2024-12-31
54,1,54,0,154,88,990,2024-12-31
55,1,55,3099,154,88,990,2024-12-31
56,1,56,0,196,112,1260,2024-12-31
57,1,57,0,196,112,1260,2024-12-31
58,1,58,2842,196,112,1260,2024-12-31
59,1,59,0,196,112,1260,2024-12-31
60,1,60,0,196,112,1260,2024-12-31
61,1,61,4615,196,112,1260,2024-12-31
62,1,62,0,196,112,1260,2024-12-31
63,1,63,0,98,56,630,2024-12-31
64,1,64,1995,98,56,630,2024-12-31
65,1,65,0,98,56,630,2024-12-31
66,1,66,0,98,56,630,2024-12-31
67,1,67,2031,196,112,1260,2024-12-31
68,1,68,0,196,112,1260,2024-12-31
69,1,69,0,196,112,1260,2024-12-31
70,1,70,4154,196,112,1260,2024-12-31
71,1,71,0,70,40,450,2024-12-31
72,1,72,0,70,40,450,2024-12-31
73,1,73,498,70,40,450,2024-12-31
74,1,74,0,70,40,450,2024-12-31
75,1,75,0,70,40,450,2024-12-31
76,1,76,1075,70,40,450,2024-12-31
77,1,77,0,70,40,450,2024-12-31
78,1,78,0,70,40,450,2024-12-31
79,1,79,1677,224,128,1440,2024-12-31
80,1,80,0,224,128,1440,2024-12-31
81,1,81,0,224,128,1440,2024-12-31
82,1,82,1852,224,128,1440,2024-12-31
83,1,83,0,224,128,1440,2024-12-31
84,1,84,0,280,160,1800,2024-12-31
85,1,85,5305,280,160,1800,2024-12-31
86,1,86,0,280,160,1800,2024-12-31
87,1,87,0,280,160,1800,2024-12-31
88,1,88,1203,280,160,1800,2024-12-31
89,1,89,0,336,192,2160,2024-12-31
90,1,90,0,336,192,2160,2024-12-31
91,1,91,3317,336,192,2160,2024-12-31
92,1,92,0,336,192,2160,2024-12-31
93,1,93,0,336,192,2160,2024-12-31
94,1,94,6199,336,192,2160,2024-12-31
95,1,95,0,224,128,1440,2024-12-31
96,1,96,0,224,128,1440,2024-12-31
97,1,97,4149,224,128,1440,2024-12-31
98,1,98,0,224,128,1440,2024-12-31
99,1,99,0,224,128,1440,2024-12-31
100,1,100,8757,336,192,2160,2024-12-31
101,1,101,0,336,192,2160,2024-12-31
102,1,102,0,336,192,2160,2024-12-31
103,1,103,5340,336,192,2160,2024-12-31
104,1,104,0,336,192,2160,2024-12-31
105,1,105,0,336,192,2160,2024-12-31
106,1,106,3643,336,192,2160,2024-12-31
107,1,107,0,196,112,1260,2024-12-31
108,1,108,0,196,112,1260,2024-12-31
109,1,109,3865,196,112,1260,2024-12-31
110,1,110,0,196,112,1260,2024-12-31
111,1,111,0,196,112,1260,2024-12-31
112,1,112,970,84,48,540,2024-12-31
113,1,113,0,84,48,540,2024-12-31
114,1,114,0,84,48,540,2024-12-31
115,1,115,2071,385,220,2475,2024-12-31
116,1,116,0,385,220,2475,2024-12-31
117,1,117,0,385,220,2475,2024-12-31
118,1,118,3014,280,160,1800,2024-12-31
119,1,119,0,280,160,1800,2024-12-31
120,1,120,0,280,160,1800,2024-12-31
121,1,121,5411,280,160,1800,2024-12-31
122,1,122,0,84,48,540,2024-12-31
123,1,123,0,84,48,540,2024-12-31
124,1,124,635,140,80,900,2024-12-31
125,1,125,0,140,80,900,2024-12-31
126,1,126,0,70,40,450,2024-12-31
127,1,127,1954,70,40,450,2024-12-31
128,1,128,0,56,32,360,2024-12-31
129,1,129,0,56,32,360,2024-12-31
130,1,130,564,154,88,990,2024-12-31
131,1,131,0,154,88,990,2024-12-31
132,1,132,0,154,88,990,2024-12-31
133,1,133,105,70,40,450,2024-12-31
134,1,134,0,70,40,450,2024-12-31
135,1,135,0,70,40,450,2024-12-31
136,1,136,1235,70,40,450,2024-12-31
