po_item_id,po_id,product_id,quantity,purchase_price
1,1,73,387,69.24
2,2,73,387,69.24
3,3,73,407,69.24
4,4,136,154,168.0
5,5,73,158,69.24
6,6,169,114,78.91
7,7,169,304,78.91
8,8,34,772,43.5
9,9,118,577,28.3
10,10,136,157,168.0
11,11,73,160,69.24
12,12,169,114,78.91
13,13,181,266,103.51
14,14,169,304,78.91
15,15,34,772,43.5
16,16,109,1086,243.71
17,17,118,592,28.3
18,18,136,162,168.0
19,19,73,160,69.24
20,20,169,114,78.91
21,21,181,266,103.51
22,22,169,304,78.91
23,23,34,772,43.5
24,24,109,1086,243.71
25,25,82,1221,24.78
26,26,118,592,28.3
27,27,136,170,168.0
28,28,73,160,69.24
29,29,169,317,78.91
30,30,169,114,78.91
31,31,181,266,103.51
32,32,169,304,78.91
33,33,34,809,43.5
34,34,109,1086,243.71
35,35,82,1221,24.78
36,36,184,305,85.76
37,37,169,327,78.91
38,38,169,118,78.91
39,39,181,266,103.51
40,40,169,321,78.91
41,41,34,838,43.5
42,42,109,1086,243.71
43,43,160,1685,133.73
44,44,82,1221,24.78
45,45,184,311,85.76
46,46,169,336,78.91
47,47,169,122,78.91
48,48,181,266,103.51
49,49,130,306,78.85
50,50,169,338,78.91
51,51,34,838,43.5
52,52,109,1086,243.71
53,53,124,1528,42.87
54,54,160,1685,133.73
55,55,82,1221,24.78
56,56,184,311,85.76
57,57,169,336,78.91
58,58,169,126,78.91
59,59,115,777,10.6
60,60,130,306,78.85
61,61,169,338,78.91
62,62,172,1094,222.98
63,63,67,1099,17.77
64,64,34,871,43.5
65,65,124,1528,42.87
66,66,160,1685,133.73
67,67,94,4007,44.46
68,68,169,308,78.91
69,69,82,1221,24.78
70,70,40,2137,55.1
71,71,169,356,78.91
72,72,169,131,78.91
73,73,115,777,10.6
74,74,130,306,78.85
75,75,109,1092,243.71
76,76,169,350,78.91
77,77,73,868,69.24
78,78,169,615,78.91
79,79,172,1094,222.98
80,80,67,1141,17.77
81,81,7,311,40.37
82,82,34,871,43.5
83,83,124,1528,42.87
84,84,85,3416,16.99
85,85,121,3070,19.83
86,86,94,4207,44.46
87,87,169,308,78.91
88,88,40,2206,55.1
89,89,115,2121,10.6
90,90,172,196,222.98
91,91,169,356,78.91
92,92,130,307,78.85
93,93,115,777,10.6
94,94,130,306,78.85
95,95,109,1149,243.71
96,96,169,350,78.91
97,97,169,312,78.91
98,98,73,868,69.24
99,99,169,615,78.91
100,100,172,1094,222.98
101,101,67,1141,17.77
102,102,7,311,40.37
103,103,34,895,43.5
104,104,73,875,69.24
105,105,103,4051,10.76
106,106,169,619,78.91
107,107,55,854,25.1
108,108,112,463,81.22
109,109,85,3416,16.99
110,110,121,3070,19.83
111,111,94,4359,44.46
112,112,169,322,78.91
113,113,40,2206,55.1
114,114,115,2168,10.6
115,115,172,196,222.98
116,116,169,118,78.91
117,117,169,356,78.91
118,118,130,307,78.85
119,119,115,2133,10.6
120,120,139,963,24.64
121,121,22,117,48.88
122,122,115,800,10.6
123,123,130,306,78.85
124,124,109,1149,243.71
125,125,118,1521,28.3
126,126,169,312,78.91
127,127,73,868,69.24
128,128,169,638,78.91
129,129,172,1094,222.98
130,130,67,1167,17.77
131,131,7,318,40.37
132,132,121,1564,19.83
133,133,73,875,69.24
134,134,103,4051,10.76
135,135,169,619,78.91
136,136,55,854,25.1
137,137,112,463,81.22
138,138,85,3416,16.99
139,139,121,3070,19.83
140,140,94,4487,44.46
141,141,169,322,78.91
