po_id,supplier_id,store_id,order_date,expected_delivery,status,total_cost
1,1,9,2021-01-14,2021-01-17,DELIVERED,26795.88
2,1,9,2021-01-15,2021-01-18,DELIVERED,26795.88
3,1,9,2021-01-16,2021-01-18,DELIVERED,28180.68
4,7,18,2021-01-16,2021-01-20,DELIVERED,25872.0
5,1,19,2021-01-16,2021-01-20,DELIVERED,10939.92
6,4,22,2021-01-16,2021-01-24,DELIVERED,8995.74
7,4,1,2021-01-17,2021-01-26,DELIVERED,23988.64
8,4,6,2021-01-17,2021-01-26,DELIVERED,33582.0
9,1,18,2021-01-17,2021-01-20,DELIVERED,16329.1
10,7,18,2021-01-17,2021-01-22,DELIVERED,26376.0
11,1,19,2021-01-17,2021-01-21,DELIVERED,11078.4
12,4,22,2021-01-17,2021-01-25,DELIVERED,8995.74
13,7,23,2021-01-17,2021-01-22,DELIVERED,27533.66
14,4,1,2021-01-18,2021-01-27,DELIVERED,23988.64
15,4,6,2021-01-18,2021-01-26,DELIVERED,33582.0
16,7,6,2021-01-18,2021-01-23,DELIVERED,264669.06
17,1,18,2021-01-18,2021-01-22,DELIVERED,16753.6
18,7,18,2021-01-18,2021-01-22,DELIVERED,27216.0
19,1,19,2021-01-18,2021-01-23,DELIVERED,11078.4
20,4,22,2021-01-18,2021-01-25,DELIVERED,8995.74
21,7,23,2021-01-18,2021-01-22,DELIVERED,27533.66
22,4,1,2021-01-19,2021-01-27,DELIVERED,23988.64
23,4,6,2021-01-19,2021-01-27,DELIVERED,33582.0
24,7,6,2021-01-19,2021-01-23,DELIVERED,264669.06
25,5,15,2021-01-19,2021-01-24,DELIVERED,30256.38
26,1,18,2021-01-19,2021-01-23,DELIVERED,16753.6
27,7,18,2021-01-19,2021-01-24,DELIVERED,28560.0
28,1,19,2021-01-19,2021-01-24,DELIVERED,11078.4
29,4,21,2021-01-19,2021-01-28,DELIVERED,25014.47
30,4,22,2021-01-19,2021-01-26,DELIVERED,8995.74
31,7,23,2021-01-19,2021-01-23,DELIVERED,27533.66
32,4,1,2021-01-20,2021-01-28,DELIVERED,23988.64
33,4,6,2021-01-20,2021-01-28,DELIVERED,35191.5
34,7,6,2021-01-20,2021-01-25,DELIVERED,264669.06
35,5,15,2021-01-20,2021-01-24,DELIVERED,30256.38
36,1,16,2021-01-20,2021-01-23,DELIVERED,26156.8
37,4,21,2021-01-20,2021-01-29,DELIVERED,25803.57
38,4,22,2021-01-20,2021-01-27,DELIVERED,9311.38
39,7,23,2021-01-20,2021-01-24,DELIVERED,27533.66
40,4,1,2021-01-21,2021-01-30,DELIVERED,25330.11
41,4,6,2021-01-21,2021-01-30,DELIVERED,36453.0
42,7,6,2021-01-21,2021-01-25,DELIVERED,264669.06
43,1,11,2021-01-21,2021-01-24,DELIVERED,225335.05
44,5,15,2021-01-21,2021-01-25,DELIVERED,30256.38
45,1,16,2021-01-21,2021-01-25,DELIVERED,26671.36
46,4,21,2021-01-21,2021-01-30,DELIVERED,26513.76
47,4,22,2021-01-21,2021-01-29,DELIVERED,9627.02
48,7,23,2021-01-21,2021-01-26,DELIVERED,27533.66
49,5,24,2021-01-21,2021-01-26,DELIVERED,24128.1
50,4,1,2021-01-22,2021-01-30,DELIVERED,26671.58
51,4,6,2021-01-22,2021-01-30,DELIVERED,36453.0
52,7,6,2021-01-22,2021-01-27,DELIVERED,264669.06
53,1,7,2021-01-22,2021-01-25,DELIVERED,65505.36
54,1,11,2021-01-22,2021-01-25,DELIVERED,225335.05
55,5,15,2021-01-22,2021-01-27,DELIVERED,30256.38
56,1,16,2021-01-22,2021-01-26,DELIVERED,26671.36
57,4,21,2021-01-22,2021-01-31,DELIVERED,26513.76
