order_id,store_id,order_date,total_amount,payment_method,customer_count
1,1,2021-01-01,160183.7,Cash,648
2,2,2021-01-01,120030.04,UPI,718
3,3,2021-01-01,308616.19,UPI,1088
4,4,2021-01-01,143271.72,UPI,676
5,5,2021-01-01,87999.72,UPI,234
6,6,2021-01-01,221410.34,Cash,608
7,7,2021-01-01,435727.63,UPI,1385
8,8,2021-01-01,280632.31,Cash,719
9,9,2021-01-01,262982.44,UPI,717
10,10,2021-01-01,173186.73,UPI,535
11,11,2021-01-01,296819.33,UPI,1082
12,12,2021-01-01,190146.64,Cash,688
13,13,2021-01-01,368487.76,Cash,1187
14,14,2021-01-01,265646.88,Cash,578
15,15,2021-01-01,222088.6,UPI,584
16,16,2021-01-01,186146.85,Credit Card,554
17,17,2021-01-01,206493.55,Cash,620
18,18,2021-01-01,71274.47,UPI,233
19,19,2021-01-01,91991.53,UPI,270
20,20,2021-01-01,45264.95,Cash,213
21,21,2021-01-01,192191.97,UPI,579
22,22,2021-01-01,86742.91,UPI,220
23,23,2021-01-01,193917.88,Cash,604
24,24,2021-01-01,74057.19,Credit Card,253
25,25,2021-01-01,170489.26,Cash,599
26,1,2021-01-02,294277.72,Cash,791
27,2,2021-01-02,147820.55,UPI,734
28,3,2021-01-02,369860.11,Wallet,1596
29,4,2021-01-02,259830.4,Credit Card,769
30,5,2021-01-02,119447.37,Cash,340
31,6,2021-01-02,260953.32,Wallet,704
32,7,2021-01-02,650013.8,UPI,1625
33,8,2021-01-02,163968.01,Wallet,763
34,9,2021-01-02,255166.73,Cash,761
35,10,2021-01-02,261711.0,Cash,851
36,11,2021-01-02,645563.11,UPI,1586
37,12,2021-01-02,153051.85,Cash,726
38,13,2021-01-02,621386.36,Credit Card,1310
39,14,2021-01-02,164241.23,UPI,823
40,15,2021-01-02,169978.19,Cash,725
41,16,2021-01-02,265164.75,UPI,877
42,17,2021-01-02,238821.46,Cash,669
43,18,2021-01-02,70764.78,Credit Card,300
44,19,2021-01-02,123969.46,Debit Card,328
45,20,2021-01-02,111261.1,Cash,296
46,21,2021-01-02,171605.74,UPI,662
47,22,2021-01-02,110975.22,UPI,331
48,23,2021-01-02,184474.16,Debit Card,860
49,24,2021-01-02,108235.11,Cash,268
50,25,2021-01-02,252794.28,Cash,660
51,1,2021-01-03,191157.1,Cash,716
52,2,2021-01-03,240005.66,UPI,726
53,3,2021-01-03,367661.1,Cash,1542
54,4,2021-01-03,162100.86,UPI,747
55,5,2021-01-03,64427.3,UPI,338
56,6,2021-01-03,290660.65,UPI,843
57,7,2021-01-03,620049.64,Cash,1559
