weather_id,store_id,weather_date,temperature_c,rainfall_mm,humidity_pct,weather_type
1,1,2021-01-01,19.4,0.0,53.8,Clear
2,2,2021-01-01,24.4,0.0,40.2,Clear
3,3,2021-01-01,18.7,0.0,50.6,Clear
4,4,2021-01-01,21.2,0.0,49.9,Clear
5,5,2021-01-01,19.9,0.0,54.4,Clear
6,1,2021-01-02,22.2,0.0,55.6,Clear
7,2,2021-01-02,23.2,0.0,45.7,Clear
8,3,2021-01-02,22.9,0.0,45.2,Clear
9,4,2021-01-02,24.2,0.0,49.8,Clear
10,5,2021-01-02,21.5,0.0,46.6,Clear
11,1,2021-01-03,21.6,0.0,47.9,Clear
12,2,2021-01-03,21.1,0.0,52.7,Clear
13,3,2021-01-03,22.9,0.0,52.1,Clear
14,4,2021-01-03,23.1,0.0,60.7,Clear
15,5,2021-01-03,21.0,0.0,47.4,Clear
16,1,2021-01-04,23.5,0.0,55.6,Clear
17,2,2021-01-04,21.7,0.0,45.8,Clear
18,3,2021-01-04,19.9,0.0,53.3,Clear
19,4,2021-01-04,23.9,0.0,52.7,Clear
20,5,2021-01-04,20.3,0.0,51.2,Clear
21,1,2021-01-05,22.5,0.0,54.4,Clear
22,2,2021-01-05,22.6,0.0,53.4,Clear
23,3,2021-01-05,22.2,0.0,51.4,Clear
24,4,2021-01-05,23.6,0.0,42.7,Clear
25,5,2021-01-05,21.2,0.0,47.6,Clear
26,1,2021-01-06,21.3,0.0,57.5,Clear
27,2,2021-01-06,19.8,0.0,54.8,Clear
28,3,2021-01-06,17.8,0.0,48.3,Clear
29,4,2021-01-06,22.4,0.0,52.9,Clear
30,5,2021-01-06,23.8,0.0,54.0,Clear
31,1,2021-01-07,24.1,0.08,49.0,Cloudy
32,2,2021-01-07,18.8,0.08,44.3,Cloudy
33,3,2021-01-07,19.7,0.08,52.5,Cloudy
34,4,2021-01-07,22.4,0.08,53.5,Cloudy
35,5,2021-01-07,20.9,0.08,50.8,Cloudy
36,1,2021-01-08,21.2,0.0,52.3,Clear
37,2,2021-01-08,20.3,0.0,48.2,Clear
38,3,2021-01-08,21.0,0.0,44.0,Clear
39,4,2021-01-08,23.2,0.0,47.7,Clear
40,5,2021-01-08,22.0,0.0,52.4,Clear
41,1,2021-01-09,23.7,0.0,49.5,Clear
42,2,2021-01-09,20.9,0.0,49.6,Clear
43,3,2021-01-09,17.8,0.0,42.8,Clear
44,4,2021-01-09,18.7,0.0,45.0,Clear
45,5,2021-01-09,23.0,0.0,45.5,Clear
46,1,2021-01-10,25.2,0.0,48.2,Clear
47,2,2021-01-10,23.8,0.0,45.3,Clear
48,3,2021-01-10,21.5,0.0,45.2,Clear
49,4,2021-01-10,21.2,0.0,54.2,Clear
50,5,2021-01-10,17.7,0.0,52.2,Clear
51,1,2021-01-11,20.5,0.0,42.8,Clear
52,2,2021-01-11,22.2,0.0,47.4,Clear
53,3,2021-01-11,22.6,0.0,50.1,Clear
54,4,2021-01-11,26.0,0.0,48.8,Clear
55,5,2021-01-11,19.4,0.0,50.9,Clear
56,1,2021-01-12,24.1,0.07,51.8,Cloudy
57,2,2021-01-12,25.7,0.07,44.1,Cloudy
58,3,2021-01-12,20.4,0.07,45.4,Cloudy
59,4,2021-01-12,21.0,0.07,43.1,Cloudy
60,5,2021-01-12,23.6,0.07,48.9,Cloudy
61,1,2021-01-13,19.5,0.0,51.6,Clear
62,2,2021-01-13,24.1,0.0,60.0,Clear
63,3,2021-01-13,29.3,0.0,52.1,Clear
64,4,2021-01-13,19.5,0.0,39.3,Clear
65,5,2021-01-13,22.7,0.0,45.9,Clear
66,1,2021-01-14,20.5,0.0,49.3,Clear
67,2,2021-01-14,24.7,0.0,50.8,Clear
68,3,2021-01-14,21.6,0.0,44.8,Clear
69,4,2021-01-14,17.8,0.0,47.6,Clear
70,5,2021-01-14,21.9,0.0,58.8,Clear
71,1,2021-01-15,24.5,0.0,47.5,Clear
72,2,2021-01-15,19.0,0.0,45.2,Clear
73,3,2021-01-15,20.2,0.0,60.6,Clear
74,4,2021-01-15,19.9,0.0,54.2,Clear
75,5,2021-01-15,19.7,0.0,54.7,Clear
76,1,2021-01-16,21.6,0.0,49.8,Clear
77,2,2021-01-16,20.4,0.0,52.2,Clear
78,3,2021-01-16,20.9,0.0,43.9,Clear
79,4,2021-01-16,18.8,0.0,50.9,Clear
80,5,2021-01-16,25.9,0.0,50.8,Clear
81,1,2021-01-17,22.7,0.0,56.5,Clear
82,2,2021-01-17,22.5,0.0,47.9,Clear
83,3,2021-01-17,24.8,0.0,52.1,Clear
84,4,2021-01-17,25.8,0.0,50.9,Clear
85,5,2021-01-17,18.9,0.0,43.2,Clear
86,1,2021-01-18,26.3,0.0,49.1,Clear
87,2,2021-01-18,21.0,0.0,57.3,Clear
88,3,2021-01-18,19.2,0.0,45.5,Clear
89,4,2021-01-18,23.6,0.0,48.0,Clear
90,5,2021-01-18,22.0,0.0,49.2,Clear
91,1,2021-01-19,22.2,0.04,53.2,Cloudy
92,2,2021-01-19,16.9,0.04,49.8,Cloudy
93,3,2021-01-19,19.9,0.04,43.9,Cloudy
94,4,2021-01-19,19.8,0.04,48.3,Cloudy
95,5,2021-01-19,24.3,0.04,43.4,Cloudy
96,1,2021-01-20,20.8,0.0,48.4,Clear
97,2,2021-01-20,24.5,0.0,52.7,Clear
98,3,2021-01-20,25.3,0.0,49.2,Clear
99,4,2021-01-20,20.3,0.0,48.9,Clear
100,5,2021-01-20,22.6,0.0,50.9,Clear
101,1,2021-01-21,22.2,0.0,51.1,Clear
102,2,2021-01-21,28.3,0.0,59.4,Clear
103,3,2021-01-21,19.9,0.0,48.6,Clear
104,4,2021-01-21,18.3,0.0,47.0,Clear
105,5,2021-01-21,22.8,0.0,56.0,Clear
106,1,2021-01-22,20.4,0.0,39.3,Clear
107,2,2021-01-22,21.6,0.0,44.7,Clear
108,3,2021-01-22,20.7,0.0,45.6,Clear
109,4,2021-01-22,21.8,0.0,41.2,Clear
110,5,2021-01-22,18.3,0.0,60.6,Clear
111,1,2021-01-23,19.3,0.0,59.2,Clear
112,2,2021-01-23,29.3,0.0,44.1,Clear
113,3,2021-01-23,21.1,0.0,51.7,Clear
114,4,2021-01-23,26.3,0.0,45.1,Clear
115,5,2021-01-23,21.4,0.0,53.9,Clear
116,1,2021-01-24,21.1,0.0,49.3,Clear
117,2,2021-01-24,18.6,0.0,48.8,Clear
118,3,2021-01-24,21.3,0.0,51.2,Clear
119,4,2021-01-24,20.6,0.0,52.4,Clear
120,5,2021-01-24,24.5,0.0,50.8,Clear
121,1,2021-01-25,22.1,0.0,50.0,Clear
122,2,2021-01-25,20.2,0.0,51.6,Clear
123,3,2021-01-25,21.8,0.0,60.5,Clear
124,4,2021-01-25,25.9,0.0,51.9,Clear
125,5,2021-01-25,20.1,0.0,44.4,Clear
126,1,2021-01-26,22.7,0.0,52.4,Clear
127,2,2021-01-26,17.6,0.0,54.6,Clear
128,3,2021-01-26,23.1,0.0,44.4,Clear
129,4,2021-01-26,20.8,0.0,51.3,Clear
130,5,2021-01-26,22.1,0.0,48.5,Clear
131,1,2021-01-27,21.4,0.0,50.8,Clear
132,2,2021-01-27,25.7,0.0,37.2,Clear
133,3,2021-01-27,21.4,0.0,50.9,Clear
134,4,2021-01-27,22.7,0.0,48.1,Clear
135,5,2021-01-27,17.6,0.0,51.6,Clear
136,1,2021-01-28,18.2,0.0,54.3,Clear
137,2,2021-01-28,21.2,0.0,49.7,Clear
138,3,2021-01-28,19.4,0.0,48.3,Clear
139,4,2021-01-28,25.3,0.0,52.9,Clear
140,5,2021-01-28,26.3,0.0,55.9,Clear
141,1,2021-01-29,26.4,0.0,52.2,Clear
142,2,2021-01-29,24.1,0.0,48.5,Clear
143,3,2021-01-29,22.2,0.0,46.5,Clear
144,4,2021-01-29,24.5,0.0,44.1,Clear
145,5,2021-01-29,24.0,0.0,49.0,Clear
146,1,2021-01-30,23.9,0.0,59.1,Clear
147,2,2021-01-30,23.8,0.0,42.1,Clear
148,3,2021-01-30,21.8,0.0,44.1,Clear
149,4,2021-01-30,20.7,0.0,57.6,Clear
150,5,2021-01-30,23.6,0.0,46.5,Clear
151,1,2021-01-31,22.1,0.0,43.9,Clear
152,2,2021-01-31,20.3,0.0,51.6,Clear
153,3,2021-01-31,24.9,0.0,53.0,Clear
154,4,2021-01-31,16.3,0.0,51.5,Clear
155,5,2021-01-31,22.2,0.0,52.1,Clear
156,1,2021-02-01,16.8,0.0,47.0,Clear
157,2,2021-02-01,23.5,0.0,42.1,Clear
158,3,2021-02-01,25.7,0.0,51.8,Clear
159,4,2021-02-01,24.1,0.0,47.1,Clear
160,5,2021-02-01,24.0,0.0,55.3,Clear
161,1,2021-02-02,22.6,0.0,51.4,Clear
162,2,2021-02-02,19.8,0.0,49.3,Clear
163,3,2021-02-02,21.6,0.0,51.9,Clear
164,4,2021-02-02,24.5,0.0,44.7,Clear
165,5,2021-02-02,21.7,0.0,57.4,Clear
166,1,2021-02-03,19.9,0.0,51.0,Clear
167,2,2021-02-03,24.1,0.0,50.1,Clear
168,3,2021-02-03,25.3,0.0,54.3,Clear
169,4,2021-02-03,24.1,0.0,52.8,Clear
170,5,2021-02-03,27.8,0.0,49.0,Clear
171,1,2021-02-04,26.0,0.0,47.7,Clear
172,2,2021-02-04,22.3,0.0,56.5,Clear
173,3,2021-02-04,18.0,0.0,43.7,Clear
174,4,2021-02-04,18.0,0.0,46.0,Clear
175,5,2021-02-04,23.1,0.0,52.6,Clear
176,1,2021-02-05,18.5,0.0,38.4,Clear
177,2,2021-02-05,22.1,0.0,47.6,Clear
178,3,2021-02-05,23.1,0.0,53.5,Clear
179,4,2021-02-05,22.3,0.0,53.8,Clear
180,5,2021-02-05,22.6,0.0,52.7,Clear
181,1,2021-02-06,21.6,0.0,51.0,Clear
182,2,2021-02-06,24.1,0.0,48.0,Clear
183,3,2021-02-06,23.3,0.0,48.7,Clear
184,4,2021-02-06,21.7,0.0,54.1,Clear
185,5,2021-02-06,17.0,0.0,43.5,Clear
186,1,2021-02-07,16.2,0.0,46.6,Clear
187,2,2021-02-07,23.9,0.0,48.6,Clear
188,3,2021-02-07,22.5,0.0,55.4,Clear
189,4,2021-02-07,25.3,0.0,49.7,Clear
190,5,2021-02-07,25.4,0.0,50.5,Clear
191,1,2021-02-08,20.5,0.0,42.6,Clear
192,2,2021-02-08,19.8,0.0,48.2,Clear
193,3,2021-02-08,24.0,0.0,58.6,Clear
194,4,2021-02-08,18.5,0.0,52.0,Clear
195,5,2021-02-08,19.4,0.0,52.4,Clear
196,1,2021-02-09,17.4,0.0,54.6,Clear
197,2,2021-02-09,20.5,0.0,47.3,Clear
198,3,2021-02-09,19.3,0.0,46.7,Clear
199,4,2021-02-09,23.1,0.0,49.1,Clear
200,5,2021-02-09,22.8,0.0,51.8,Clear
201,1,2021-02-10,21.1,0.0,42.6,Clear
202,2,2021-02-10,24.7,0.0,48.3,Clear
203,3,2021-02-10,24.8,0.0,51.9,Clear
204,4,2021-02-10,21.7,0.0,51.7,Clear
205,5,2021-02-10,26.9,0.0,60.4,Clear
206,1,2021-02-11,22.4,0.0,55.4,Clear
207,2,2021-02-11,19.9,0.0,51.7,Clear
208,3,2021-02-11,21.9,0.0,51.6,Clear
209,4,2021-02-11,19.9,0.0,42.1,Clear
210,5,2021-02-11,16.8,0.0,44.4,Clear
211,1,2021-02-12,26.8,0.02,55.5,Cloudy
212,2,2021-02-12,19.6,0.02,51.7,Cloudy
213,3,2021-02-12,21.0,0.02,48.6,Cloudy
214,4,2021-02-12,22.5,0.02,53.1,Cloudy
215,5,2021-02-12,21.2,0.02,55.3,Cloudy
216,1,2021-02-13,22.0,0.0,63.0,Clear
217,2,2021-02-13,22.6,0.0,57.2,Clear
218,3,2021-02-13,22.2,0.0,52.9,Clear
219,4,2021-02-13,21.9,0.0,49.1,Clear
220,5,2021-02-13,20.1,0.0,52.2,Clear
221,1,2021-02-14,23.7,0.0,55.4,Clear
222,2,2021-02-14,22.9,0.0,48.6,Clear
223,3,2021-02-14,23.1,0.0,48.5,Clear
224,4,2021-02-14,24.3,0.0,40.8,Clear
225,5,2021-02-14,21.2,0.0,40.0,Clear
226,1,2021-02-15,25.4,0.0,54.5,Clear
227,2,2021-02-15,20.2,0.0,42.5,Clear
228,3,2021-02-15,14.6,0.0,47.3,Clear
229,4,2021-02-15,28.1,0.0,52.2,Clear
230,5,2021-02-15,20.6,0.0,52.3,Clear
231,1,2021-02-16,21.3,0.0,50.5,Clear
232,2,2021-02-16,21.8,0.0,54.0,Clear
233,3,2021-02-16,22.9,0.0,53.3,Clear
234,4,2021-02-16,20.3,0.0,54.5,Clear
235,5,2021-02-16,26.1,0.0,45.1,Clear
236,1,2021-02-17,25.3,0.0,49.0,Clear
237,2,2021-02-17,25.5,0.0,47.8,Clear
238,3,2021-02-17,25.6,0.0,50.7,Clear
239,4,2021-02-17,22.6,0.0,57.8,Clear
240,5,2021-02-17,21.1,0.0,45.3,Clear
241,1,2021-02-18,23.1,0.0,42.2,Clear
242,2,2021-02-18,23.6,0.0,47.3,Clear
243,3,2021-02-18,24.9,0.0,38.0,Clear
244,4,2021-02-18,20.0,0.0,41.6,Clear
245,5,2021-02-18,19.9,0.0,51.2,Clear
246,1,2021-02-19,21.4,0.0,49.2,Clear
247,2,2021-02-19,22.5,0.0,45.0,Clear
