feature,importance
units_sold_roll_mean_7,0.36212826
units_sold_roll_mean_14,0.23174134
units_sold_roll_mean_28,0.16387537
units_sold_lag_7,0.06236951
day_of_week,0.01971161
month,0.018889032
is_holiday,0.015182936
quarter,0.014395144
is_weekend,0.012639123
temperature_c,0.011447673
inflation_rate,0.011165633
selling_price,0.010289739
shelf_life_days,0.008176295
store_size_sqft,0.007837543
unemployment_rate,0.0072584874
margin_pct,0.0071604303
season_encoded,0.00473572
units_sold_lag_28,0.004676883
cpi,0.0040419465
units_sold_roll_std_7,0.0039662053
fuel_price,0.0038925689
store_type_encoded,0.0035626914
rainfall_mm,0.0031454673
units_sold_roll_std_28,0.0027138782
units_sold_roll_std_14,0.0024562064
perishable,0.0018559018
units_sold_lag_14,0.0005082565
competitor_price,0.00017618328
discount_pct,0.0
effective_price,0.0
price_vs_competitor,0.0
price_discount_interaction,0.0
humidity_pct,0.0
category_encoded,0.0
weather_type_encoded,0.0
